Ref,Val,Package,PosX,PosY,Rot,Side
"R6","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",228.800000,-69.800000,90.000000,top
"R7","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",225.400000,-69.800000,90.000000,top
"R8","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",235.600000,-69.800000,90.000000,top
"R9","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",239.200000,-69.800000,90.000000,top
"R10","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",202.060000,-76.620000,180.000000,top
"R11","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",202.060000,-75.020000,180.000000,top
"R12","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",216.500000,-89.000000,90.000000,top
"R13","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",218.900000,-89.000000,-90.000000,top
"R14","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",232.325000,-93.100000,180.000000,top
"R15","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",236.575000,-73.987500,0.000000,top
"R16","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",233.000000,-73.987500,180.000000,top
"R17","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",229.450000,-73.987500,0.000000,top
"R18","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",221.500000,-73.987500,0.000000,top
"R19","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",217.950000,-73.987500,180.000000,top
"R20","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",214.350000,-73.987500,0.000000,top
"R21","1M","R_0402_1005Metric",187.091500,-71.920200,45.000000,top
"R22","1M","R_0402_1005Metric",232.910000,-76.110000,-90.000000,top
"R24","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",222.200000,-104.500000,90.000000,top
"R25","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",172.000000,-102.710000,90.000000,top
"S1","CJS-1200TA","CJS-1200TA",201.675000,-68.225000,0.000000,top
"S2","TL1015AF160QG","SW_TL1015AF160QG",202.025000,-63.975000,0.000000,top
"SW2","SW_SPDT","SW_SPDT_CK-JS102011SAQN",215.100000,-105.900000,0.000000,top
"U1","AZ1117-3.3","SOT-223-3_TabPin2",216.800000,-57.200000,90.000000,top
"U2","AZ1117-1.8","SOT-223-3_TabPin2",227.200000,-57.200000,90.000000,top
"U4","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",225.765000,-88.300000,90.000000,top
"U5","W25Q32JVSS","DIP-8_W7.62mm_Socket_LongPads",230.775000,-104.475000,90.000000,top
"Y1","24 MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",185.758600,-70.566100,45.000000,top
