pin,functions,gpio,io_char,power_domain,group
35,USB0PN,,,USB_AVD33,usb
36,USB0PP,,,USB_AVD33,usb
37,USB_AVD33,,,,usb
38,SFC0_CE,PA28,Hi-Z-rst,VDDIO1,sfc
39,SFC0_DR_IO1,PA24,Hi-Z-rst,VDDIO1,sfc
40,VDDIO1,,,,power_io
41,VDD,,,,power_core
42,SFC0_WP_IO2,PA26,Hi-Z-rst,VDDIO1,sfc
43,SFC0_DT_IO0,PA23,Hi-Z-rst,VDDIO1,sfc
44,SFC0_CLK,PA27,Hi-Z-rst,VDDIO1,sfc
45,SFC0_HOLD_IO3,PA25,Hi-Z-rst,VDDIO1,sfc
46,GMAC_PHY_CLK|UART5_RXD,PB07,Hi-Z-rst,VDDIO1,gmac
47,GMAC_RXDV|I2S_DAC_LRCK|PWM3,PB09,Hi-Z-rst,VDDIO1,gmac
48,GMAC_MDIO|I2S_DAC_MCLK|SMB2_SCK,PB11,Hi-Z-rst,VDDIO1,gmac
49,GMAC_MDCK|I2S_ADC_MCLK|SMB2_SDA,PB10,Hi-Z-rst,VDDIO1,gmac
50,VDDIO18,,,,power_io
51,SADC_VIN0,,,SADC_VREFP_AVDD,sadc
52,SADC_VREFP_AVDD,,,,sadc
53,GMAC_TXEN|I2S_DAC_BCLK|PWM2,PB08,Hi-Z-rst,VDDIO1,gmac
54,GMAC_TXD1|I2S_ADC_LRCK|PWM5,PB14,Hi-Z-rst,VDDIO1,gmac
55,GMAC_TXD0|I2S_ADC_BCLK|PWM4,PB13,Hi-Z-rst,VDDIO1,gmac
56,GMAC_TXCLK|UART5_TXD,PB06,Hi-Z-rst,VDDIO1,gmac
57,GMAC_RXD1|I2S_SDTO|PWM7,PB16,Hi-Z-rst,VDDIO1,gmac
58,GMAC_RXD0|I2S_SDTI|PWM6,PB15,Hi-Z-rst,VDDIO1,gmac
59,VDD,,,,power_core
60,POR_CTL,,Hi-Z-rst,VDDIO1,sysctl
61,MSC0_D1,PB01,Hi-Z-rst,VDDIO1,msc0
62,MSC0_CLK,PB04,Hi-Z-rst,VDDIO1,msc0
63,MSC0_D0,PB00,Hi-Z-rst,VDDIO1,msc0
64,MSC0_D3,PB03,Hi-Z-rst,VDDIO1,msc0
65,VDDIO1,,,,power_io
66,VDD,,,,power_core
67,MSC0_D2,PB02,Hi-Z-rst,VDDIO1,msc0
68,MSC0_CMD,PB05,Hi-Z-rst,VDDIO1,msc0
69,UART1_RXD,PB24,Hi-Z-rst,VDDIO1,uart1
70,UART1_TXD,PB23,Hi-Z-rst,VDDIO1,uart1
71,PWM1,PB18,Hi-Z-rst,VDDIO1,pwm
72,PWM0,PB17,Hi-Z-rst,VDDIO1,pwm
73,DMIC_DAT1|UART4_RXD|SSI1_CE0,PB30,Hi-Z-rst,VDDIO1,pb_misc
74,DMIC_DAT0|UART4_TXD|SSI1_DR,PB29,Hi-Z-rst,VDDIO1,pb_misc
75,DMIC_CLK|SMB2_SCK|SSI1_CLK,PB28,Hi-Z-rst,VDDIO1,pb_misc
76,DRV_VBUS|SMB2_SDA|SSI1_DT,PB27,Hi-Z-rst,VDDIO1,pb_misc
77,SMB1_SDA|UART3_TXD|SSI1_CE1,PB25,Hi-Z-rst,VDDIO1,pb_misc
78,SMB1_SCK|UART3_RXD|SSI1_GPC,PB26,Hi-Z-rst,VDDIO1,pb_misc
79,GPIO_PB31,PB31,Hi-Z-rst,VDDIO1,pb_misc
80,BOOT_SEL0,PC00,PU_rst,VDDIO1,boot
81,VDD,,,,power_core
82,DDRVDD,,,,ddr
83,DDR_ZQ,,240R to VSSQ,,ddr
84,RZQ,,240R to VSSQ,,ddr
85,DDRPLL_VCCA,,1.8V,,ddr
86,DDR_VREF,,,,ddr
87,DDRVDD,,,,ddr
88,VDD,,,,power_core
89,UART2_CTS|SMB1_SDA,PC19,Hi-Z-rst,VDDIO2,uart_ssi0
90,UART2_RTS|SMB1_SCK,PC20,Hi-Z-rst,VDDIO2,uart_ssi0
91,UART2_RXD|I2S_ADC_LRCK,PC14,Hi-Z-rst,VDDIO2,uart_ssi0
